0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 1
11, 1
12, 1
13, 2
14, 1
15, 1
16, 1
17, 1
18, 1
19, 1
20, 2
21, 1
22, 1
23, 1
24, 1
25, 1
26, 1
27, 1
28, 1
29, 2
30, 1
31, 2
32, 1
33, 2
34, 1
35, 1
36, 1
37, 2
38, 1
39, 1
40, 1
41, 1
42, 1
43, 1
44, 1
45, 2
46, 1
47, 1
48, 1
49, 2
50, 1
51, 1
52, 1
53, 2
54, 1
55, 1
56, 2
57, 1
58, 1
59, 1
60, 1
61, 1
62, 2
63, 1
64, 1
65, 1
66, 1
67, 1
68, 1
69, 2
70, 1
71, 1
72, 1
73, 1
74, 1
75, 2
76, 1
77, 2
78, 1
79, 1
80, 1
81, 2
82, 2
83, 1
84, 1
85, 2
86, 2
87, 1
88, 1
89, 2
90, 1
91, 1
92, 1
93, 1
94, 1
95, 2
96, 1
97, 1
98, 1
99, 1
100, 3
101, 3
102, 3
103, 3
104, 3
105, 3
106, 3
107, 3
108, 3
109, 3
110, 3
111, 3
112, 3
113, 3
114, 3
115, 3
116, 3
117, 3
118, 3
119, 3
120, 4
121, 3
122, 3
123, 3
124, 3
125, 3
126, 3
127, 3
128, 4
129, 3
130, 3
131, 3
132, 3
133, 3
134, 3
135, 3
136, 3
137, 3
138, 3
139, 3
140, 3
141, 3
142, 3
143, 3
144, 3
145, 3
146, 3
147, 3
148, 4
149, 3
150, 3
